,Mode-Service,2016,Actual,EqualDev,Greenfield,mdINIS,TODInfill
0,PT_Schools,1.0,1.257122163470052,1.2190632493622882,1.1785572719929915,1.315114262385482,1.2835100428673498
1,PT_LC,1.0,1.2227245925432826,1.1943114542068296,1.1669345990309943,1.2305985676430626,1.2265895319729112
2,PT_GC,1.0,1.2561255532087106,1.2037450885119083,1.1779756060861686,1.2340091926171266,1.262182583876058
3,PT_TC,1.0,1.1981311138758295,1.1081106618768501,1.0388119277012604,1.1092101260383629,1.251056399140392
4,PT_empl,1.0,1.2298381163821208,1.1081524422598583,1.0237274967277792,1.2829220943292627,1.2903100971841972
5,Cycle_Schools,1.0,1.2330452140661958,1.2170083634491946,1.190409566103536,1.2827867028725504,1.2646738926271834
6,Cycle_LC,1.0,1.1967159589448735,1.186465889710291,1.1561352977970112,1.1910167813689203,1.1967537813709592
7,Cycle_GC,1.0,1.2057027976286094,1.1991079432623692,1.160144315043527,1.2092082573834404,1.214535574538217
8,Cycle_TC,1.0,1.1524237943997764,1.126283717595645,1.0744061846563218,1.1251134159964438,1.1912545611953786
9,Cycle_empl,1.0,1.1744435938257887,1.12824567623498,1.0347520539715358,1.3573877498258868,1.2396015266503055
10,Walk_Schools,1.0,1.2613096160232433,1.24715791189877,1.1959553595061614,1.335259107204603,1.2920216091022507
11,Walk_LC,1.0,1.2522371673918484,1.2304932250302845,1.1803095277656657,1.2476379940663045,1.2511437616577163
12,Walk_GC,1.0,1.3100745876391806,1.2599807456919156,1.214304187426294,1.2823245633436613,1.330714418713365
13,Walk_TC,1.0,1.2580961874533891,1.091557052418001,1.0049614688335273,1.083411681527425,1.3694591117189254
14,Walk_empl,1.0,1.230905376569783,1.1052132712607894,1.011461596519111,1.2703650317503328,1.3363104721202688
