,Mode-Service,2016,Actual,EqualDev,Greenfield,mdINIS,TODInfill
0,PT_Schools,1,1.257122163,1.219063249,1.178557272,1.315114262,1.283510043
1,PT_LC,1,1.222724593,1.194311454,1.166934599,1.230598568,1.226589532
2,PT_GC,1,1.256125553,1.203745089,1.177975606,1.234009193,1.262182584
3,PT_TC,1,1.198131114,1.108110662,1.038811928,1.109210126,1.251056399
4,PT_empl,1,1.229838116,1.108152442,1.023727497,1.282922094,1.290310097
5,Cycle_Schools,1,1.233045214,1.217008363,1.190409566,1.282786703,1.264673893
6,Cycle_LC,1,1.196715959,1.18646589,1.156135298,1.191016781,1.196753781
7,Cycle_GC,1,1.205702798,1.199107943,1.160144315,1.209208257,1.214535575
8,Cycle_TC,1,1.152423794,1.126283718,1.074406185,1.125113416,1.191254561
9,Cycle_empl,1,1.174443594,1.128245676,1.034752054,1.35738775,1.239601527
10,Walk_Schools,1,1.261309616,1.247157912,1.19595536,1.335259107,1.292021609
11,Walk_LC,1,1.252237167,1.230493225,1.180309528,1.247637994,1.251143762
12,Walk_GC,1,1.310074588,1.259980746,1.214304187,1.282324563,1.330714419
13,Walk_TC,1,1.258096187,1.091557052,1.004961469,1.083411682,1.369459112
14,Walk_empl,1,1.230905377,1.105213271,1.011461597,1.270365032,1.336310472
